state,saledate,productcategoryname,dollarcount,dollarweight,dollartotal
MA,5/12/21,Kief,0,2494.32,2494.32
MA,12/11/18,Buds,13782.13,131193.86,144975.99
MA,3/3/21,Raw Pre-Rolls,0,351868.73,351868.73
MA,12/23/18,Concentrate (Each),180098.9,0,180098.9
MA,8/20/19,Kief,0,682.92,682.92
MA,5/10/21,Buds,0,1311749.08,1311749.08
MA,9/21/19,Infused (edible),326445.01,0,326445.01
MA,2/25/21,Infused (non-edible),14748.74,0,14748.74
MA,11/30/20,Buds,0,896153.09,896153.09
MA,1/16/21,Shake/Trim,0,1081.26,1081.26
MA,12/10/20,Infused Pre-Rolls,0,4560,4560
MA,8/14/19,Shake/Trim (by strain),0,5008.67,5008.67
MA,2/19/20,Shake/Trim (by strain),0,8236.95,8236.95
MA,10/16/20,Shake/Trim,0,1230,1230
MA,10/4/19,Raw Pre-Rolls,0,135689.36,135689.36
MA,3/25/19,Infused (non-edible),10387.84,0,10387.84
MA,3/21/21,Vape Product,615393.61,0,615393.61
MA,8/4/20,Shake/Trim,0,670,670
MA,4/25/21,Concentrate,0,16591.42,16591.42
MA,6/1/20,Concentrate,0,14688.72,14688.72
MA,1/30/19,Concentrate (Each),135127.04,0,135127.04
MA,8/2/20,Infused (non-edible),11662.36,0,11662.36
MA,6/25/19,Infused (non-edible),61797.57,0,61797.57
MA,4/17/21,Infused (edible),811424.71,0,811424.71
MA,1/12/21,Infused Pre-Rolls,0,9039.18,9039.18
MA,4/26/21,Raw Pre-Rolls,0,348882.9,348882.9
MA,2/25/21,Concentrate,0,42100.41,42100.41
MA,6/19/20,Infused (edible),348311.89,0,348311.89
MA,3/14/20,Shake/Trim (by strain),0,15769.9,15769.9
MA,11/24/18,Buds,27390.28,181737.89,209128.17
MA,12/23/18,Kief,0,570,570
MA,7/13/20,Raw Pre-Rolls,0,210995.39,210995.39
MA,5/9/19,Concentrate (Each),341327.83,480,341807.83
MA,9/5/20,Infused Pre-Rolls,0,13804.4,13804.4
MA,2/19/20,Concentrate,0,15276,15276
MA,12/1/18,Concentrate,0,40064.31,40064.31
MA,8/1/19,Infused Pre-Rolls,0,1018.8,1018.8
MA,6/1/21,Infused (non-edible),16255.2,0,16255.2
MA,6/6/20,Infused (non-edible),10608.76,0,10608.76
MA,7/13/20,Shake/Trim (by strain),0,5655.7,5655.7
MA,5/30/19,Buds,0,562344.5,562344.5
MA,11/29/19,Kief,0,6764.78,6764.78
MA,5/8/19,Shake/Trim,0,1149.91,1149.91
MA,3/22/21,Infused Pre-Rolls,0,10412.75,10412.75
MA,12/27/20,Kief,0,4072.96,4072.96
MA,2/21/20,Raw Pre-Rolls,0,259260.76,259260.76
MA,10/2/19,Infused (edible),230922.91,0,230922.91
MA,12/14/20,Infused (edible),287653.76,0,287653.76
MA,2/17/21,Concentrate,0,38350.18,38350.18
MA,2/14/20,Concentrate,0,17596.84,17596.84
MA,3/11/21,Concentrate (Each),187552.98,0,187552.98
MA,6/7/19,Shake/Trim (by strain),0,3567.5,3567.5
